Site,Date,State,Country,Latitude,Longitude,EnglishName,LatinName,OrigBflyName,ButterflyCount,ObserverCount,HoursObserved
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Marine Blue,Leptotes marina,Leptotes marina,67,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,American Snout,Libytheana carinenta,Libytheana bachmanii,6,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Viceroy,Limenitis archippus,Limenitis archippus,5,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Red-spotted Purple,Limenitis arthemis astyanax,Limenitis astyanax,4,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Red Satyr,Megisto rubricata,Megisto rubricata,24,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Leda Ministreak,Ministrymon leda,Ministrymon leda,6,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Dainty Sulphur,Nathalis iole,Nathalis iole,15,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Mourning Cloak,Nymphalis antiopa,Nymphalis antiopa,3,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Giant Swallowtail,Papilio cresphontes,Papilio cresphontes,5,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Two-tailed Swallowtail,Papilio multicaudata,Papilio multicaudata,49,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Cloudless Sulphur,Phoebis sennae,Phoebis sennae,20,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Common Sootywing,Pholisora catullus,Pholisora catullus,35,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Texan Crescent,Phyciodes texana,Anthanassa texana,8,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Cabbage White,Pieris rapae,Pieris rapae,2,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Acmon Blue,Plebejus acmon,Plebejus acmon,4,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Carus Skipper,Polites carus,Yvretta carus,6,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,White Checkered-Skipper,Pyrgus albescens,Pyrgus albescens,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Desert Checkered-Skipper,Pyrgus philetas,Pyrgus philetas,3,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Dull Firetip,Pyrrhopyge araxes,Pyrrhopyge araxes,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Golden-headed Scallopwing,Staphylus ceos,Staphylus ceos,16,4,26
