Site,Date,State,LatinName,EnglishName,Season,Survey,ButterflyCount,HoursObserved
McDowellSonoranPreserve,9/25/2021,AZ,Strymon melinus,Gray hairstreak,Fall,2021 Fall,74,28.43
PatagoniaAZ,8/6/2019,AZ,Strymon melinus,Gray hairstreak,Summer,2019 Summer,4,71
PortalAZ,7/25/2019,AZ,Strymon melinus,Gray hairstreak,Summer,2019 Summer,12,4
PortalAZ,8/2/2020,AZ,Strymon melinus,Gray hairstreak,Summer,2020 Summer,1,21
RamseyCanyonAZ,7/28/2020,AZ,Strymon melinus,Gray hairstreak,Summer,2020 Summer,9,55.5
SabinoCanyonAZ,7/23/2019,AZ,Strymon melinus,Gray hairstreak,Summer,2019 Summer,3,38.5
SabinoCanyonAZ,4/3/2020,AZ,Strymon melinus,Gray hairstreak,Spring,2020 Spring,24,62
SabinoCanyonAZ,7/29/2020,AZ,Strymon melinus,Gray hairstreak,Summer,2020 Summer,1,14.5
SantaRitaMountains,7/28/2019,AZ,Strymon melinus,Gray hairstreak,Summer,2019 Summer,2,48.5
SantaRitaMountains,9/28/2019,AZ,Strymon melinus,Gray hairstreak,Fall,2019 Fall,2,37.5
SantaRitaMountains,7/31/2020,AZ,Strymon melinus,Gray hairstreak,Summer,2020 Summer,6,60
SantaRitaMountains,10/4/2020,AZ,Strymon melinus,Gray hairstreak,Fall,2020 Fall,11,63.5
BoyceThompsonArboretum,9/7/2019,AZ,Systasea zampa,Arizona powdered skipper,Fall,2019 Fall,4,10
McDowellSonoranPreserve,4/6/2019,AZ,Systasea zampa,Arizona powdered skipper,Spring,2019 Spring,1,20.55
McDowellSonoranPreserve,9/28/2019,AZ,Systasea zampa,Arizona powdered skipper,Fall,2019 Fall,1,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Systasea zampa,Arizona powdered skipper,Spring,2020 Spring,3,16.65
McDowellSonoranPreserve,9/25/2021,AZ,Systasea zampa,Arizona powdered skipper,Fall,2021 Fall,24,28.43
PatagoniaAZ,8/6/2019,AZ,Systasea zampa,Arizona powdered skipper,Summer,2019 Summer,2,71
PortalAZ,7/25/2019,AZ,Systasea zampa,Arizona powdered skipper,Summer,2019 Summer,3,4
SabinoCanyonAZ,7/23/2019,AZ,Systasea zampa,Arizona powdered skipper,Summer,2019 Summer,5,38.5
SabinoCanyonAZ,4/3/2020,AZ,Systasea zampa,Arizona powdered skipper,Spring,2020 Spring,25,62
SabinoCanyonAZ,7/29/2020,AZ,Systasea zampa,Arizona powdered skipper,Summer,2020 Summer,2,14.5
SantaRitaMountains,7/28/2019,AZ,Systasea zampa,Arizona powdered skipper,Summer,2019 Summer,4,48.5
SantaRitaMountains,9/28/2019,AZ,Systasea zampa,Arizona powdered skipper,Fall,2019 Fall,2,37.5
SantaRitaMountains,7/31/2020,AZ,Systasea zampa,Arizona powdered skipper,Summer,2020 Summer,13,60
SantaRitaMountains,10/4/2020,AZ,Systasea zampa,Arizona powdered skipper,Fall,2020 Fall,4,63.5
BoyceThompsonArboretum,9/7/2019,AZ,Texola elada,Elada checkerspot,Fall,2019 Fall,3,10
McDowellSonoranPreserve,4/6/2019,AZ,Texola elada,Elada checkerspot,Spring,2019 Spring,4,20.55
McDowellSonoranPreserve,9/25/2021,AZ,Texola elada,Elada checkerspot,Fall,2021 Fall,8,28.43
PatagoniaAZ,8/6/2019,AZ,Texola elada,Elada checkerspot,Summer,2019 Summer,100,71
PortalAZ,7/25/2019,AZ,Texola elada,Elada checkerspot,Summer,2019 Summer,6,4
PortalAZ,8/2/2020,AZ,Texola elada,Elada checkerspot,Summer,2020 Summer,1,21
RamseyCanyonAZ,8/1/2019,AZ,Texola elada,Elada checkerspot,Summer,2019 Summer,1,39.5
RamseyCanyonAZ,7/28/2020,AZ,Texola elada,Elada checkerspot,Summer,2020 Summer,3,55.5
SabinoCanyonAZ,4/3/2020,AZ,Texola elada,Elada checkerspot,Spring,2020 Spring,22,62
SantaRitaMountains,7/28/2019,AZ,Texola elada,Elada checkerspot,Summer,2019 Summer,17,48.5
SantaRitaMountains,9/28/2019,AZ,Texola elada,Elada checkerspot,Fall,2019 Fall,12,37.5
SantaRitaMountains,7/31/2020,AZ,Texola elada,Elada checkerspot,Summer,2020 Summer,33,60
SantaRitaMountains,10/4/2020,AZ,Texola elada,Elada checkerspot,Fall,2020 Fall,2,63.5
Cottonwood,8/29/2019,AZ,Thorybes pylades,Northern cloudywing,Summer,2019 Summer,1,11
PatagoniaAZ,8/6/2019,AZ,Thorybes pylades,Northern cloudywing,Summer,2019 Summer,82,71
PortalAZ,7/25/2019,AZ,Thorybes pylades,Northern cloudywing,Summer,2019 Summer,162,4
PortalAZ,8/2/2020,AZ,Thorybes pylades,Northern cloudywing,Summer,2020 Summer,12,21
RamseyCanyonAZ,8/1/2019,AZ,Thorybes pylades,Northern cloudywing,Summer,2019 Summer,35,39.5
RamseyCanyonAZ,7/28/2020,AZ,Thorybes pylades,Northern cloudywing,Summer,2020 Summer,18,55.5
SabinoCanyonAZ,7/23/2019,AZ,Thorybes pylades,Northern cloudywing,Summer,2019 Summer,17,38.5
SantaRitaMountains,7/28/2019,AZ,Thorybes pylades,Northern cloudywing,Summer,2019 Summer,31,48.5
SantaRitaMountains,9/28/2019,AZ,Thorybes pylades,Northern cloudywing,Fall,2019 Fall,1,37.5
SantaRitaMountains,7/31/2020,AZ,Thorybes pylades,Northern cloudywing,Summer,2020 Summer,20,60
PatagoniaAZ,8/6/2019,AZ,Thorybes drusius,Drusius cloudywing,Summer,2019 Summer,44,71
PortalAZ,7/25/2019,AZ,Thorybes drusius,Drusius cloudywing,Summer,2019 Summer,12,4
PortalAZ,8/2/2020,AZ,Thorybes drusius,Drusius cloudywing,Summer,2020 Summer,2,21
RamseyCanyonAZ,8/1/2019,AZ,Thorybes drusius,Drusius cloudywing,Summer,2019 Summer,4,39.5
SantaRitaMountains,7/28/2019,AZ,Thorybes drusius,Drusius cloudywing,Summer,2019 Summer,3,48.5
SantaRitaMountains,7/31/2020,AZ,Thorybes drusius,Drusius cloudywing,Summer,2020 Summer,5,60
PatagoniaAZ,8/6/2019,AZ,Urbanus dorantes,Dorantes longtail,Summer,2019 Summer,1,71
RamseyCanyonAZ,8/1/2019,AZ,Urbanus dorantes,Dorantes longtail,Summer,2019 Summer,1,39.5
McDowellSonoranPreserve,4/6/2019,AZ,Vanessa annabella,West coast lady,Spring,2019 Spring,2,20.55
PatagoniaAZ,8/6/2019,AZ,Vanessa annabella,West coast lady,Summer,2019 Summer,1,71
Cottonwood,8/29/2019,AZ,Vanessa atalanta,Red admiral,Summer,2019 Summer,5,11
McDowellSonoranPreserve,4/6/2019,AZ,Vanessa atalanta,Red admiral,Spring,2019 Spring,27,20.55
PortalAZ,8/2/2020,AZ,Vanessa atalanta,Red admiral,Summer,2020 Summer,1,21
RamseyCanyonAZ,8/1/2019,AZ,Vanessa atalanta,Red admiral,Summer,2019 Summer,1,39.5
RamseyCanyonAZ,7/28/2020,AZ,Vanessa atalanta,Red admiral,Summer,2020 Summer,2,55.5
SabinoCanyonAZ,4/3/2020,AZ,Vanessa atalanta,Red admiral,Spring,2020 Spring,24,62
SantaRitaMountains,10/4/2020,AZ,Vanessa atalanta,Red admiral,Fall,2020 Fall,1,63.5
BoyceThompsonArboretum,9/7/2019,AZ,Vanessa cardui,Painted lady,Fall,2019 Fall,10,10
BoyceThompsonArboretum,9/12/2020,AZ,Vanessa cardui,Painted lady,Fall,2020 Fall,1,7.5
Cottonwood,8/29/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,15,11
Cottonwood,8/26/2020,AZ,Vanessa cardui,Painted lady,Summer,2020 Summer,15,20
GrandCanyonN,7/25/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,14,6
McDowellSonoranPreserve,4/6/2019,AZ,Vanessa cardui,Painted lady,Spring,2019 Spring,32,20.55
McDowellSonoranPreserve,9/28/2019,AZ,Vanessa cardui,Painted lady,Fall,2019 Fall,26,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Vanessa cardui,Painted lady,Spring,2020 Spring,55,16.65
McDowellSonoranPreserve,9/25/2021,AZ,Vanessa cardui,Painted lady,Fall,2021 Fall,17,28.43
PatagoniaAZ,8/6/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,295,71
PortalAZ,7/25/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,88,4
PortalAZ,8/2/2020,AZ,Vanessa cardui,Painted lady,Summer,2020 Summer,42,21
RamseyCanyonAZ,8/1/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,52,39.5
RamseyCanyonAZ,7/28/2020,AZ,Vanessa cardui,Painted lady,Summer,2020 Summer,19,55.5
SabinoCanyonAZ,7/23/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,76,38.5
SabinoCanyonAZ,4/3/2020,AZ,Vanessa cardui,Painted lady,Spring,2020 Spring,185,62
SabinoCanyonAZ,7/29/2020,AZ,Vanessa cardui,Painted lady,Summer,2020 Summer,7,14.5
SantaRitaMountains,7/28/2019,AZ,Vanessa cardui,Painted lady,Summer,2019 Summer,84,48.5
SantaRitaMountains,9/28/2019,AZ,Vanessa cardui,Painted lady,Fall,2019 Fall,9,37.5
SantaRitaMountains,7/31/2020,AZ,Vanessa cardui,Painted lady,Summer,2020 Summer,19,60
SantaRitaMountains,10/4/2020,AZ,Vanessa cardui,Painted lady,Fall,2020 Fall,93,63.5
McDowellSonoranPreserve,4/6/2019,AZ,Vanessa virginiensis,American lady,Spring,2019 Spring,9,20.55
McDowellSonoranPreserve,9/25/2021,AZ,Vanessa virginiensis,American lady,Fall,2021 Fall,1,28.43
PatagoniaAZ,8/6/2019,AZ,Vanessa virginiensis,American lady,Summer,2019 Summer,2,71
PortalAZ,7/25/2019,AZ,Vanessa virginiensis,American lady,Summer,2019 Summer,21,4
PortalAZ,8/2/2020,AZ,Vanessa virginiensis,American lady,Summer,2020 Summer,1,21
RamseyCanyonAZ,8/1/2019,AZ,Vanessa virginiensis,American lady,Summer,2019 Summer,3,39.5
RamseyCanyonAZ,7/28/2020,AZ,Vanessa virginiensis,American lady,Summer,2020 Summer,3,55.5
SabinoCanyonAZ,7/23/2019,AZ,Vanessa virginiensis,American lady,Summer,2019 Summer,6,38.5
SabinoCanyonAZ,4/3/2020,AZ,Vanessa virginiensis,American lady,Spring,2020 Spring,2,62
SantaRitaMountains,7/28/2019,AZ,Vanessa virginiensis,American lady,Summer,2019 Summer,5,48.5
SantaRitaMountains,9/28/2019,AZ,Vanessa virginiensis,American lady,Fall,2019 Fall,4,37.5
SantaRitaMountains,7/31/2020,AZ,Vanessa virginiensis,American lady,Summer,2020 Summer,3,60
BoyceThompsonArboretum,9/12/2020,AZ,Zerene cesonia,Southern dogface,Fall,2020 Fall,2,7.5
Cottonwood,8/29/2019,AZ,Zerene cesonia,Southern dogface,Summer,2019 Summer,1,11
McDowellSonoranPreserve,4/6/2019,AZ,Zerene cesonia,Southern dogface,Spring,2019 Spring,31,20.55
McDowellSonoranPreserve,4/4/2020,AZ,Zerene cesonia,Southern dogface,Spring,2020 Spring,2,16.65
McDowellSonoranPreserve,9/25/2021,AZ,Zerene cesonia,Southern dogface,Fall,2021 Fall,76,28.43
PatagoniaAZ,8/6/2019,AZ,Zerene cesonia,Southern dogface,Summer,2019 Summer,10,71
PortalAZ,7/25/2019,AZ,Zerene cesonia,Southern dogface,Summer,2019 Summer,4,4
PortalAZ,8/2/2020,AZ,Zerene cesonia,Southern dogface,Summer,2020 Summer,3,21
RamseyCanyonAZ,8/1/2019,AZ,Zerene cesonia,Southern dogface,Summer,2019 Summer,4,39.5
RamseyCanyonAZ,7/28/2020,AZ,Zerene cesonia,Southern dogface,Summer,2020 Summer,3,55.5
SabinoCanyonAZ,7/23/2019,AZ,Zerene cesonia,Southern dogface,Summer,2019 Summer,6,38.5
SabinoCanyonAZ,4/3/2020,AZ,Zerene cesonia,Southern dogface,Spring,2020 Spring,29,62
SabinoCanyonAZ,7/29/2020,AZ,Zerene cesonia,Southern dogface,Summer,2020 Summer,6,14.5
SantaRitaMountains,7/28/2019,AZ,Zerene cesonia,Southern dogface,Summer,2019 Summer,15,48.5
SantaRitaMountains,9/28/2019,AZ,Zerene cesonia,Southern dogface,Fall,2019 Fall,8,37.5
SantaRitaMountains,7/31/2020,AZ,Zerene cesonia,Southern dogface,Summer,2020 Summer,29,60
SantaRitaMountains,10/4/2020,AZ,Zerene cesonia,Southern dogface,Fall,2020 Fall,1,63.5
RamseyCanyonAZ,7/28/2020,AZ,Zestusa dorus,Short tailed skipper,Summer,2020 Summer,1,55.5
McDowellSonoranPreserve,10/3/2015,(blank),Agathymus aryxna,Arizona giant skipper,Fall,2015 Fall,1,14.52
McDowellSonoranPreserve,4/8/2017,AZ,Anthocharis centhura pima,Pima desert orangetip,Spring,2017 Spring,6,19
McDowellSonoranPreserve,4/8/2017,AZ,Anthocharis sara,Sara orangetip,Spring,2017 Spring,21,19
McDowellSonoranPreserve,9/20/2014,(blank),Apodemia mormo,Mormon metalmark,Fall,2014 Fall,24,8
McDowellSonoranPreserve,10/3/2015,(blank),Apodemia mormo,Mormon metalmark,Fall,2015 Fall,36,14.52
McDowellSonoranPreserve,9/17/2016,AZ,Apodemia mormo,Mormon metalmark,Fall,2016 Fall,21,12.5
McDowellSonoranPreserve,9/17/2016,(blank),Apodemia mormo,Mormon metalmark,Fall,2016 Fall,31,12.5
McDowellSonoranPreserve,4/8/2017,AZ,Apodemia mormo,Mormon metalmark,Spring,2017 Spring,1,19
McDowellSonoranPreserve,9/23/2017,AZ,Apodemia mormo,Mormon metalmark,Fall,2017 Fall,45,11.28
McDowellSonoranPreserve,9/29/2018,AZ,Apodemia mormo,Mormon metalmark,Fall,2018 Fall,76,13.5
McDowellSonoranPreserve,10/3/2015,(blank),Apodemia palmeri,Palmer’s metalmark,Fall,2015 Fall,2,14.52
McDowellSonoranPreserve,9/23/2017,AZ,Apodemia palmeri,Palmer’s metalmark,Fall,2017 Fall,2,11.28
McDowellSonoranPreserve,9/29/2018,AZ,Apodemia palmeri,Palmer’s metalmark,Fall,2018 Fall,17,13.5
McDowellSonoranPreserve,9/20/2014,(blank),Asterocampa leilia,Empress leilia,Fall,2014 Fall,37,8
McDowellSonoranPreserve,10/3/2015,(blank),Asterocampa leilia,Empress leilia,Fall,2015 Fall,24,14.52
McDowellSonoranPreserve,9/17/2016,AZ,Asterocampa leilia,Empress leilia,Fall,2016 Fall,33,12.5
McDowellSonoranPreserve,9/17/2016,(blank),Asterocampa leilia,Empress leilia,Fall,2016 Fall,30,12.5
McDowellSonoranPreserve,4/8/2017,AZ,Asterocampa leilia,Empress leilia,Spring,2017 Spring,90,19
McDowellSonoranPreserve,9/23/2017,AZ,Asterocampa leilia,Empress leilia,Fall,2017 Fall,55,11.28
McDowellSonoranPreserve,4/7/2018,AZ,Asterocampa leilia,Empress leilia,Spring,2018 Spring,10,13.5
McDowellSonoranPreserve,9/29/2018,AZ,Asterocampa leilia,Empress leilia,Fall,2018 Fall,122,13.5
McDowellSonoranPreserve,9/20/2014,(blank),Atlides halesus,Great purple hairstreak,Fall,2014 Fall,2,8
McDowellSonoranPreserve,9/17/2016,AZ,Atlides halesus,Great purple hairstreak,Fall,2016 Fall,2,12.5
McDowellSonoranPreserve,4/8/2017,AZ,Atlides halesus,Great purple hairstreak,Spring,2017 Spring,2,19
McDowellSonoranPreserve,9/29/2018,AZ,Atlides halesus,Great purple hairstreak,Fall,2018 Fall,1,13.5
McDowellSonoranPreserve,9/17/2016,(blank),Atrytonopsis edwardsi,Sheep skipper,Fall,2016 Fall,1,12.5
McDowellSonoranPreserve,9/20/2014,(blank),Battus philenor,Pipevine swallowtail,Fall,2014 Fall,35,8
McDowellSonoranPreserve,9/17/2016,(blank),Battus philenor,Pipevine swallowtail,Fall,2016 Fall,21,12.5
McDowellSonoranPreserve,4/8/2017,AZ,Battus philenor,Pipevine swallowtail,Spring,2017 Spring,72,19
McDowellSonoranPreserve,9/23/2017,AZ,Battus philenor,Pipevine swallowtail,Fall,2017 Fall,6,11.28
McDowellSonoranPreserve,4/7/2018,AZ,Battus philenor,Pipevine swallowtail,Spring,2018 Spring,3,13.5
McDowellSonoranPreserve,9/29/2018,AZ,Battus philenor,Pipevine swallowtail,Fall,2018 Fall,49,13.5
McDowellSonoranPreserve,9/20/2014,(blank),Brephidium exile,Western pygmy blue,Fall,2014 Fall,4,8
McDowellSonoranPreserve,10/3/2015,(blank),Brephidium exile,Western pygmy blue,Fall,2015 Fall,1,14.52
McDowellSonoranPreserve,9/17/2016,(blank),Brephidium exile,Western pygmy blue,Fall,2016 Fall,1,12.5
McDowellSonoranPreserve,9/29/2018,AZ,Brephidium exile,Western pygmy blue,Fall,2018 Fall,2,13.5
McDowellSonoranPreserve,9/17/2016,(blank),Calephelis nemesis,Fatal metalmark,Fall,2016 Fall,1,12.5
McDowellSonoranPreserve,9/20/2014,(blank),Celastrina argiolus,Spring azure,Fall,2014 Fall,1,8
McDowellSonoranPreserve,10/3/2015,(blank),Celastrina argiolus,Spring azure,Fall,2015 Fall,3,14.52
McDowellSonoranPreserve,4/8/2017,AZ,Celastrina argiolus,Spring azure,Spring,2017 Spring,67,19
McDowellSonoranPreserve,9/20/2014,(blank),Chlosyne californica,California patch,Fall,2014 Fall,192,8
McDowellSonoranPreserve,9/17/2016,AZ,Chlosyne californica,California patch,Fall,2016 Fall,6,12.5
McDowellSonoranPreserve,9/17/2016,(blank),Chlosyne californica,California patch,Fall,2016 Fall,29,12.5
McDowellSonoranPreserve,4/8/2017,AZ,Chlosyne californica,California patch,Spring,2017 Spring,57,19
McDowellSonoranPreserve,4/7/2018,AZ,Chlosyne californica,California patch,Spring,2018 Spring,8,13.5
McDowellSonoranPreserve,9/29/2018,AZ,Chlosyne californica,California patch,Fall,2018 Fall,5,13.5
McDowellSonoranPreserve,9/20/2014,(blank),Colias eurytheme,Orange sulphur,Fall,2014 Fall,2,8
McDowellSonoranPreserve,10/3/2015,(blank),Colias eurytheme,Orange sulphur,Fall,2015 Fall,2,14.52
McDowellSonoranPreserve,4/8/2017,AZ,Colias eurytheme,Orange sulphur,Spring,2017 Spring,48,19
McDowellSonoranPreserve,9/29/2018,AZ,Colias eurytheme,Orange sulphur,Fall,2018 Fall,86,13.5
McDowellSonoranPreserve,9/29/2018,AZ,Copaeodes aurantiaca,Orange skipperling,Fall,2018 Fall,2,13.5
McDowellSonoranPreserve,9/20/2014,(blank),Danuas gilippus,Queen,Fall,2014 Fall,30,8
McDowellSonoranPreserve,10/3/2015,(blank),Danuas gilippus,Queen,Fall,2015 Fall,7,14.52
McDowellSonoranPreserve,9/17/2016,AZ,Danuas gilippus,Queen,Fall,2016 Fall,2,12.5
McDowellSonoranPreserve,9/17/2016,(blank),Danuas gilippus,Queen,Fall,2016 Fall,22,12.5
McDowellSonoranPreserve,4/8/2017,AZ,Danuas gilippus,Queen,Spring,2017 Spring,13,19
