Year,Month,Day,DataSource,Site,AcceptedName,ButterflyCount,HoursObserved
1990,8,18,Helen,AtascosaHighlandsAZ,Pyrrhopyge araxes,208,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Staphylus ceos,26,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Strymon istapa,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Strymon melinus,103,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Systasea pulverulenta,7,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Systasea zampa,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Texola elada,595,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Thorybes drusius,2,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Thorybes pylades,25,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Urbanus dorantes,42,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Vanessa atalanta,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Vanessa cardui,570,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Vanessa virginiensis,270,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Achalarus casica,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Adelpha bredowii,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes aenus,57,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes cassus,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes elissa,4,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes eos,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes exoteria,32,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes nysa,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Amblyscirtes oslari,5,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Ancyloxypha arene,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Apodemia palmeri,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Asterocampa clyton,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Asterocampa leilia,12,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Atalopedes campestris,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Atrytonopsis lunus,13,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Autochton cellus,42,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Battus philenor,47,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Calephelis arizonensis,44,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Calephelis nemesis,7,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Celotes nessus,15,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Codatractus arizonensis,4,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Codatractus mysie,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Cogia hippalus,41,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Colias cesonia,4,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Colias eurytheme,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Copaeodes aurantiacus,13,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Cyllopsis pyracmon,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Danaus gilippus,8,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Dymasia dymas,13,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Emesis zela,3,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Erynnis funeralis,12,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Euptoieta claudia,3,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Eurema boisduvaliana,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Eurema mexicana,23,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Eurema nicippe,32,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Eurema proterpia,15,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Hemiargus ceraunus,12,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Hemiargus isola,10,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Hesperia pahaska,12,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Hylephila phyleus,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Junonia coenia,4,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Junonia genoveva,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Leptotes marina,10,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Lerodea eufala,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Libytheana carinenta,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Megisto rubricata,25,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Ministrymon leda,18,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Nathalis iole,11,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Nymphalis antiopa,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Papilio cresphontes,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Papilio multicaudata,5,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Phoebis sennae,76,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Pholisora catullus,64,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Phyciodes tharos,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Piruna cingo,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Polites carus,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Polygonus leo,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Pyrgus philetas,5,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Pyrrhopyge araxes,31,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Staphylus ceos,90,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Strymon melinus,3,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Texola elada,2,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Thorybes drusius,26,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Thorybes pylades,57,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Urbanus dorantes,1,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Vanessa cardui,21,NA
1991,8,10,Helen,AtascosaHighlandsAZ,Vanessa virginiensis,1,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Achalarus casica,6,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Adelpha bredowii,6,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Agraulis vanillae,92,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Amblyscirtes aenus,2,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Amblyscirtes elissa,3,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Amblyscirtes eos,1,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Amblyscirtes exoteria,2,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Amblyscirtes nereus,12,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Amblyscirtes nysa,9,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Anaea aidea,1,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Ancyloxypha arene,2,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Anteos clorinde,1,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Apodemia mormo,10,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Apodemia palmeri,2,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Asterocampa celtis,6,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Asterocampa clyton,5,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Asterocampa leilia,98,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Atlides halesus,2,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Atrytonopsis edwardsii,3,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Atrytonopsis lunus,16,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Autochton cellus,5,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Battus philenor,190,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Brephidium exile,12,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Calephelis arizonensis,43,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Calephelis nemesis,10,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Callophrys gryneus,4,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Callophrys xami,4,NA
