,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Amblyscirtes nereus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Slaty roadside skipper,Summer,2019 Summer,4,4
Amblyscirtes nereus,PortalAZ,2019,07/25/2019,AZ,4,206,Slaty roadside skipper,Summer,2019 Summer,8,8
Amblyscirtes nereus,PortalAZ,2020,08/02/2020,AZ,21,215,Slaty roadside skipper,Summer,2020 Summer,3,3
Amblyscirtes nereus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Slaty roadside skipper,Summer,2019 Summer,2,2
Amblyscirtes nereus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Slaty roadside skipper,Summer,2020 Summer,1,1
Amblyscirtes nereus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Slaty roadside skipper,Summer,2020 Summer,1,1
Amblyscirtes oslari,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Oslar's roadside skipper,Summer,2019 Summer,3,3
Amblyscirtes oslari,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Oslar's roadside skipper,Summer,2020 Summer,1,1
Amblyscirtes texanae,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Texas roadside skipper,Summer,2019 Summer,15,15
Amblyscirtes texanae,PortalAZ,2019,07/25/2019,AZ,4,206,Texas roadside skipper,Summer,2019 Summer,1,1
Amblyscirtes texanae,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Texas roadside skipper,Summer,2019 Summer,10,10
Amblyscirtes texanae,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Texas roadside skipper,Summer,2019 Summer,2,2
Amblyscirtes tolteca,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Toltec roadside skipper,Summer,2019 Summer,2,2
Amblyscirtes tolteca,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Toltec roadside skipper,Summer,2019 Summer,1,1
Amblyscirtes elissa,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Elissa roadside skipper,Summer,2019 Summer,84,84
Amblyscirtes elissa,PortalAZ,2020,08/02/2020,AZ,21,215,Elissa roadside skipper,Summer,2020 Summer,2,2
Amblyscirtes elissa,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Elissa roadside skipper,Summer,2019 Summer,10,10
Amblyscirtes elissa,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Elissa roadside skipper,Summer,2020 Summer,4,4
Amblyscirtes elissa,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Elissa roadside skipper,Summer,2019 Summer,1,1
Amblyscirtes elissa,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Elissa roadside skipper,Summer,2020 Summer,7,7
Amblyscirtes nysa,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Nysa roadside skipper,Summer,2019 Summer,20,20
Amblyscirtes nysa,PortalAZ,2019,07/25/2019,AZ,4,206,Nysa roadside skipper,Summer,2019 Summer,1,1
Amblyscirtes nysa,PortalAZ,2020,08/02/2020,AZ,21,215,Nysa roadside skipper,Summer,2020 Summer,2,2
Amblyscirtes nysa,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Nysa roadside skipper,Summer,2019 Summer,6,6
Amblyscirtes nysa,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Nysa roadside skipper,Summer,2020 Summer,6,6
Amblyscirtes nysa,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Nysa roadside skipper,Summer,2019 Summer,4,4
Amblyscirtes nysa,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Nysa roadside skipper,Fall,2019 Fall,1,1
Amblyscirtes nysa,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Nysa roadside skipper,Summer,2020 Summer,7,7
Ancyloxypha arene,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Tropical least skipper,Summer,2019 Summer,4,4
Anthocharis centhura pima,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Pima desert orangetip,Spring,2019 Spring,9,9
Anthocharis centhura pima,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Pima desert orangetip,Spring,2020 Spring,2,2
Anthocharis centhura pima,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Pima desert orangetip,Spring,2020 Spring,14,14
Anthocharis sara,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Sara orangetip,Spring,2020 Spring,1,1
Anthocharis sara,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Sara orangetip,Spring,2021 Spring,2,2
Anthocharis sara,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Sara orangetip,Spring,2020 Spring,61,61
Apodemia mormo,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Mormon metalmark,Fall,2019 Fall,7,7
