,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Erynnis meridianus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Meridian duskywing,Summer,2019 Summer,1,1
Erynnis tristis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Mournful duskywing,Summer,2019 Summer,18,18
Erynnis tristis,PortalAZ,2019,07/25/2019,AZ,4,206,Mournful duskywing,Summer,2019 Summer,3,3
Erynnis tristis,PortalAZ,2020,08/02/2020,AZ,21,215,Mournful duskywing,Summer,2020 Summer,3,3
Erynnis tristis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Mournful duskywing,Summer,2019 Summer,6,6
Erynnis tristis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Mournful duskywing,Summer,2020 Summer,13,13
Erynnis tristis,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Mournful duskywing,Summer,2019 Summer,8,8
Erynnis tristis,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Mournful duskywing,Spring,2020 Spring,7,7
Erynnis tristis,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Mournful duskywing,Summer,2020 Summer,3,3
Erynnis tristis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Mournful duskywing,Fall,2019 Fall,2,2
Erynnis tristis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Mournful duskywing,Summer,2020 Summer,5,5
Erynnis pacuvius,PortalAZ,2019,07/25/2019,AZ,4,206,Pacuvius duskywing,Summer,2019 Summer,21,21
Erynnis pacuvius,PortalAZ,2020,08/02/2020,AZ,21,215,Pacuvius duskywing,Summer,2020 Summer,10,10
Erynnis pacuvius,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Pacuvius duskywing,Summer,2019 Summer,4,4
Erynnis pacuvius,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Pacuvius duskywing,Summer,2020 Summer,10,10
Erynnis pacuvius,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Pacuvius duskywing,Summer,2019 Summer,18,18
Erynnis pacuvius,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Pacuvius duskywing,Spring,2020 Spring,8,8
Erynnis pacuvius,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Pacuvius duskywing,Summer,2020 Summer,2,2
Euchloe hyantis lotta,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Desert pearly marble,Spring,2020 Spring,47,47
Euphilotes battoides,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Square spotted blue (Martin’s Bernardino blue),Spring,2019 Spring,1,1
Euphilotes battoides,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Square spotted blue (Martin’s Bernardino blue),Spring,2020 Spring,1,1
Euphilotes spaldingi,GrandCanyonN,2019,07/25/2019,AZ,6,206,Spalding's blue,Summer,2019 Summer,1,1
Euphydryas chalcedona,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Variable (Chalcedon) checkerspot,Spring,2019 Spring,3,2
Euphydryas chalcedona,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Variable (Chalcedon) checkerspot,Spring,2020 Spring,9,7
Euphydryas chalcedona,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Variable (Chalcedon) checkerspot,Spring,2021 Spring,3,3
Euphydryas chalcedona,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Variable (Chalcedon) checkerspot,Fall,2021 Fall,2,2
Euptoieta claudia,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Variegated fritillary,Fall,2019 Fall,1,1
Euptoieta claudia,Cottonwood,2019,08/29/2019,AZ,11,241,Variegated fritillary,Summer,2019 Summer,1,1
Euptoieta claudia,Cottonwood,2020,08/26/2020,AZ,20,239,Variegated fritillary,Summer,2020 Summer,1,1
Euptoieta claudia,GrandCanyonN,2019,07/25/2019,AZ,6,206,Variegated fritillary,Summer,2019 Summer,6,6
Euptoieta claudia,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Variegated fritillary,Fall,2021 Fall,2,2
Euptoieta claudia,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Variegated fritillary,Summer,2019 Summer,11,11
Euptoieta claudia,PortalAZ,2019,07/25/2019,AZ,4,206,Variegated fritillary,Summer,2019 Summer,9,9
Euptoieta claudia,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Variegated fritillary,Summer,2019 Summer,8,8
Euptoieta claudia,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Variegated fritillary,Summer,2020 Summer,7,7
Euptoieta claudia,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Variegated fritillary,Spring,2020 Spring,3,3
Euptoieta claudia,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Variegated fritillary,Summer,2020 Summer,1,1
Euptoieta claudia,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Variegated fritillary,Summer,2019 Summer,3,3
Euptoieta claudia,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Variegated fritillary,Fall,2019 Fall,3,3
Euptoieta claudia,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Variegated fritillary,Fall,2020 Fall,3,3
Eurema mexicana,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Mexican yellow,Fall,2021 Fall,32,26
Eurema mexicana,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Mexican yellow,Summer,2019 Summer,19,19
Eurema mexicana,PortalAZ,2019,07/25/2019,AZ,4,206,Mexican yellow,Summer,2019 Summer,11,11
Eurema mexicana,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Mexican yellow,Summer,2019 Summer,15,15
Eurema mexicana,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Mexican yellow,Summer,2020 Summer,42,42
Eurema mexicana,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Mexican yellow,Summer,2019 Summer,16,16
Eurema mexicana,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Mexican yellow,Spring,2020 Spring,60,60
Eurema mexicana,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Mexican yellow,Summer,2020 Summer,3,3
Eurema mexicana,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Mexican yellow,Summer,2019 Summer,21,21
Eurema mexicana,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Mexican yellow,Fall,2019 Fall,91,91
Eurema mexicana,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Mexican yellow,Summer,2020 Summer,19,19
Eurema mexicana,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Mexican yellow,Fall,2020 Fall,20,20
Eurema nicippe,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Sleepy orange,Fall,2019 Fall,3,3
Eurema nicippe,Cottonwood,2019,08/29/2019,AZ,11,241,Sleepy orange,Summer,2019 Summer,2,2
Eurema nicippe,Cottonwood,2020,08/26/2020,AZ,20,239,Sleepy orange,Summer,2020 Summer,2,2
Eurema nicippe,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Sleepy orange,Spring,2019 Spring,108,96
Eurema nicippe,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Sleepy orange,Fall,2019 Fall,4,4
Eurema nicippe,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Sleepy orange,Spring,2020 Spring,32,30
Eurema nicippe,McDowellSonoranPreserve,2020,09/26/2020,AZ,15.33,270,Sleepy orange,Fall,2020 Fall,2,1
Eurema nicippe,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Sleepy orange,Spring,2021 Spring,2,2
Eurema nicippe,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Sleepy orange,Fall,2021 Fall,5123,5072
Eurema nicippe,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Sleepy orange,Summer,2019 Summer,5,5
Eurema nicippe,PortalAZ,2019,07/25/2019,AZ,4,206,Sleepy orange,Summer,2019 Summer,16,16
Eurema nicippe,PortalAZ,2020,08/02/2020,AZ,21,215,Sleepy orange,Summer,2020 Summer,3,3
Eurema nicippe,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Sleepy orange,Summer,2019 Summer,11,11
Eurema nicippe,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Sleepy orange,Summer,2020 Summer,7,7
Eurema nicippe,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Sleepy orange,Summer,2019 Summer,5,5
Eurema nicippe,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Sleepy orange,Spring,2020 Spring,52,52
Eurema nicippe,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Sleepy orange,Summer,2020 Summer,1,1
Eurema nicippe,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Sleepy orange,Summer,2019 Summer,9,9
Eurema nicippe,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Sleepy orange,Fall,2019 Fall,18,18
Eurema nicippe,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Sleepy orange,Summer,2020 Summer,8,8
Eurema nicippe,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Sleepy orange,Fall,2020 Fall,4,4
Eurema nise,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Mimosa yellow,Spring,2020 Spring,1,1
Eurema proterpia,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Tailed orange,Fall,2021 Fall,2,2
Eurema proterpia,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Tailed orange,Summer,2019 Summer,3,3
Eurema proterpia,PortalAZ,2019,07/25/2019,AZ,4,206,Tailed orange,Summer,2019 Summer,3,3
Eurema proterpia,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Tailed orange,Fall,2019 Fall,1,1
Eurema proterpia,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Tailed orange,Fall,2020 Fall,2,2
Gyrocheilus patrobas,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Red-bordered satyr,Fall,2019 Fall,25,25
Gyrocheilus patrobas,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Red-bordered satyr,Fall,2020 Fall,31,31
Heliopetes ericetorum,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Northern white-skipper,Fall,2021 Fall,3,3
Heliopyrgus domicella,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Erichson's white skipper,Fall,2021 Fall,2,0
Heliopyrgus domicella,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Erichson's white skipper,Summer,2019 Summer,1,1
Heliopyrgus domicella,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Erichson's white skipper,Spring,2020 Spring,3,3
Heliopyrgus domicella,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Erichson's white skipper,Fall,2019 Fall,3,3
Hemiargus ceraunus,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Ceraunus blue,Fall,2019 Fall,1,1
Hemiargus ceraunus,Cottonwood,2019,08/29/2019,AZ,11,241,Ceraunus blue,Summer,2019 Summer,1,1
Hemiargus ceraunus,Cottonwood,2020,08/26/2020,AZ,20,239,Ceraunus blue,Summer,2020 Summer,2,2
Hemiargus ceraunus,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Ceraunus blue,Spring,2019 Spring,6,5
Hemiargus ceraunus,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Ceraunus blue,Fall,2019 Fall,6,6
Hemiargus ceraunus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Ceraunus blue,Fall,2021 Fall,85,84
Hemiargus ceraunus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Ceraunus blue,Summer,2019 Summer,31,31
Hemiargus ceraunus,PortalAZ,2019,07/25/2019,AZ,4,206,Ceraunus blue,Summer,2019 Summer,7,7
Hemiargus ceraunus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Ceraunus blue,Summer,2019 Summer,10,10
Hemiargus ceraunus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Ceraunus blue,Summer,2020 Summer,6,6
Hemiargus ceraunus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Ceraunus blue,Summer,2019 Summer,6,6
Hemiargus ceraunus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Ceraunus blue,Spring,2020 Spring,4,4
Hemiargus ceraunus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Ceraunus blue,Summer,2020 Summer,8,8
Hemiargus ceraunus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Ceraunus blue,Summer,2019 Summer,20,20
Hemiargus ceraunus,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Ceraunus blue,Fall,2019 Fall,77,77
Hemiargus ceraunus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Ceraunus blue,Summer,2020 Summer,40,40
Hemiargus ceraunus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Ceraunus blue,Fall,2020 Fall,31,31
Hemiargus isola,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Reakirt's blue,Fall,2019 Fall,1,1
Hemiargus isola,Cottonwood,2019,08/29/2019,AZ,11,241,Reakirt's blue,Summer,2019 Summer,1,1
Hemiargus isola,GrandCanyonN,2019,07/25/2019,AZ,6,206,Reakirt's blue,Summer,2019 Summer,7,7
Hemiargus isola,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Reakirt's blue,Spring,2019 Spring,28,26
Hemiargus isola,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Reakirt's blue,Fall,2019 Fall,1,1
Hemiargus isola,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Reakirt's blue,Spring,2020 Spring,2,2
Hemiargus isola,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Reakirt's blue,Spring,2021 Spring,1,1
Hemiargus isola,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Reakirt's blue,Fall,2021 Fall,2,2
Hemiargus isola,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Reakirt's blue,Summer,2019 Summer,10,10
Hemiargus isola,PortalAZ,2019,07/25/2019,AZ,4,206,Reakirt's blue,Summer,2019 Summer,15,15
Hemiargus isola,PortalAZ,2020,08/02/2020,AZ,21,215,Reakirt's blue,Summer,2020 Summer,1,1
Hemiargus isola,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Reakirt's blue,Summer,2019 Summer,2,2
Hemiargus isola,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Reakirt's blue,Summer,2020 Summer,15,15
Hemiargus isola,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Reakirt's blue,Summer,2019 Summer,3,3
Hemiargus isola,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Reakirt's blue,Spring,2020 Spring,9,9
Hemiargus isola,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Reakirt's blue,Summer,2019 Summer,8,8
Hemiargus isola,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Reakirt's blue,Fall,2019 Fall,68,68
Hemiargus isola,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Reakirt's blue,Summer,2020 Summer,15,15
Hemiargus isola,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Reakirt's blue,Fall,2020 Fall,31,31
Hesperia pahaska,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Pahaska skipper,Summer,2019 Summer,8,8
Hesperia pahaska,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Pahaska skipper,Summer,2020 Summer,1,1
Hesperia pahaska,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Pahaska skipper,Spring,2020 Spring,1,1
Hesperia pahaska,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Pahaska skipper,Summer,2019 Summer,3,3
Hesperia pahaska,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Pahaska skipper,Fall,2019 Fall,4,4
Hesperopsis alpheus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Saltbush sootywing,Summer,2019 Summer,3,3
Hesperopsis alpheus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Saltbush sootywing,Summer,2020 Summer,1,1
Hylephila phyleus,Cottonwood,2019,08/29/2019,AZ,11,241,Fiery skipper,Summer,2019 Summer,7,7
Hylephila phyleus,Cottonwood,2020,08/26/2020,AZ,20,239,Fiery skipper,Summer,2020 Summer,9,9
Hylephila phyleus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Fiery skipper,Fall,2021 Fall,19,16
Hylephila phyleus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Fiery skipper,Summer,2019 Summer,13,13
Hylephila phyleus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Fiery skipper,Summer,2019 Summer,1,1
Hylephila phyleus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Fiery skipper,Summer,2020 Summer,3,3
Hylephila phyleus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Fiery skipper,Summer,2019 Summer,26,26
Hylephila phyleus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Fiery skipper,Spring,2020 Spring,19,19
Hylephila phyleus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Fiery skipper,Summer,2020 Summer,44,44
Hylephila phyleus,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Fiery skipper,Fall,2019 Fall,1,1
Hypaurotis crysalus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Colorado hairstreak,Summer,2020 Summer,2,2
Hypaurotis crysalus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Colorado hairstreak,Summer,2019 Summer,6,6
Hypaurotis crysalus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Colorado hairstreak,Summer,2019 Summer,7,7
Hypaurotis crysalus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Colorado hairstreak,Summer,2020 Summer,11,11
Junonia coenia,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Common buckeye,Fall,2019 Fall,3,3
Junonia coenia,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Common buckeye,Fall,2020 Fall,1,1
Junonia coenia,Cottonwood,2019,08/29/2019,AZ,11,241,Common buckeye,Summer,2019 Summer,9,9
Junonia coenia,Cottonwood,2020,08/26/2020,AZ,20,239,Common buckeye,Summer,2020 Summer,39,39
Junonia coenia,GrandCanyonN,2019,07/25/2019,AZ,6,206,Common buckeye,Summer,2019 Summer,8,8
Junonia coenia,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Common buckeye,Spring,2019 Spring,22,18
Junonia coenia,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Common buckeye,Fall,2019 Fall,2,1
Junonia coenia,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Common buckeye,Spring,2020 Spring,113,108
Junonia coenia,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Common buckeye,Fall,2021 Fall,1,1
Junonia coenia,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Common buckeye,Summer,2019 Summer,19,19
Junonia coenia,PortalAZ,2019,07/25/2019,AZ,4,206,Common buckeye,Summer,2019 Summer,12,12
Junonia coenia,PortalAZ,2020,08/02/2020,AZ,21,215,Common buckeye,Summer,2020 Summer,16,16
Junonia coenia,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Common buckeye,Summer,2019 Summer,5,5
Junonia coenia,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Common buckeye,Summer,2020 Summer,19,19
Junonia coenia,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Common buckeye,Summer,2019 Summer,24,24
Junonia coenia,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Common buckeye,Spring,2020 Spring,314,314
Junonia coenia,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Common buckeye,Summer,2020 Summer,4,4
Junonia coenia,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Common buckeye,Summer,2019 Summer,10,10
Junonia coenia,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Common buckeye,Fall,2019 Fall,9,9
Junonia coenia,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Common buckeye,Summer,2020 Summer,8,8
Junonia coenia,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Common buckeye,Fall,2020 Fall,1,1
Junonia evarete,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Tropical buckeye,Summer,2019 Summer,46,46
Junonia evarete,PortalAZ,2019,07/25/2019,AZ,4,206,Tropical buckeye,Summer,2019 Summer,1,1
Junonia evarete,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Tropical buckeye,Summer,2019 Summer,2,2
Junonia evarete,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Tropical buckeye,Summer,2020 Summer,5,5
Junonia evarete,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Tropical buckeye,Summer,2019 Summer,4,4
Junonia evarete,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Tropical buckeye,Spring,2020 Spring,20,20
Junonia evarete,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Tropical buckeye,Summer,2020 Summer,1,1
Junonia evarete,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Tropical buckeye,Summer,2019 Summer,3,3
Junonia evarete,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Tropical buckeye,Fall,2019 Fall,16,16
Junonia evarete,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Tropical buckeye,Summer,2020 Summer,2,2
Junonia evarete,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Tropical buckeye,Fall,2020 Fall,1,1
Kricogonia lyside,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Lyside sulphur,Summer,2019 Summer,3,3
Leptotes marina,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Marine blue,Fall,2019 Fall,2,2
Leptotes marina,Cottonwood,2019,08/29/2019,AZ,11,241,Marine blue,Summer,2019 Summer,6,6
Leptotes marina,GrandCanyonN,2019,07/25/2019,AZ,6,206,Marine blue,Summer,2019 Summer,4,4
Leptotes marina,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Marine blue,Spring,2019 Spring,2,2
Leptotes marina,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Marine blue,Spring,2021 Spring,1,1
Leptotes marina,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Marine blue,Fall,2021 Fall,15,13
Leptotes marina,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Marine blue,Summer,2019 Summer,73,73
Leptotes marina,PortalAZ,2019,07/25/2019,AZ,4,206,Marine blue,Summer,2019 Summer,14,14
Leptotes marina,PortalAZ,2020,08/02/2020,AZ,21,215,Marine blue,Summer,2020 Summer,1,1
Leptotes marina,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Marine blue,Summer,2019 Summer,29,29
Leptotes marina,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Marine blue,Summer,2020 Summer,14,14
Leptotes marina,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Marine blue,Summer,2019 Summer,27,27
Leptotes marina,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Marine blue,Spring,2020 Spring,28,28
Leptotes marina,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Marine blue,Summer,2020 Summer,42,42
Leptotes marina,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Marine blue,Summer,2019 Summer,27,27
Leptotes marina,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Marine blue,Fall,2019 Fall,434,434
Leptotes marina,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Marine blue,Summer,2020 Summer,61,61
Leptotes marina,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Marine blue,Fall,2020 Fall,22,22
Lerema accius,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Clouded skipper,Summer,2019 Summer,4,4
Lerema accius,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Clouded skipper,Summer,2020 Summer,1,1
Lerodea arabus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Violet-clouded skipper,Fall,2021 Fall,1,1
Lerodea arabus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Violet-clouded skipper,Spring,2020 Spring,3,3
Lerodea eufala,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Eufala skipper,Fall,2020 Fall,1,1
Lerodea eufala,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Eufala skipper,Fall,2019 Fall,1,1
Lerodea eufala,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Eufala skipper,Fall,2021 Fall,15,15
Lerodea eufala,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Eufala skipper,Summer,2019 Summer,3,3
Lerodea eufala,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Eufala skipper,Summer,2020 Summer,2,2
Lerodea eufala,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Eufala skipper,Fall,2019 Fall,1,1
Lerodea eufala,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Eufala skipper,Summer,2020 Summer,1,1
Libytheana carinenta,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,American snout,Fall,2020 Fall,1,1
Libytheana carinenta,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,American snout,Spring,2019 Spring,12,11
Libytheana carinenta,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,American snout,Fall,2019 Fall,1,1
Libytheana carinenta,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,American snout,Fall,2021 Fall,1378,1328
Libytheana carinenta,PatagoniaAZ,2019,08/06/2019,AZ,71,218,American snout,Summer,2019 Summer,2,2
Libytheana carinenta,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,American snout,Summer,2020 Summer,1,1
Libytheana carinenta,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,American snout,Spring,2020 Spring,5,5
Libytheana carinenta,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,American snout,Summer,2019 Summer,1,1
Libytheana carinenta,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,American snout,Fall,2019 Fall,48,48
Libytheana carinenta,SantaRitaMountains,2020,07/31/2020,AZ,60,213,American snout,Summer,2020 Summer,2,2
Libytheana carinenta,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,American snout,Fall,2020 Fall,14,14
Limenitis archippus,Cottonwood,2019,08/29/2019,AZ,11,241,Viceroy,Summer,2019 Summer,10,10
Limenitis archippus,Cottonwood,2020,08/26/2020,AZ,20,239,Viceroy,Summer,2020 Summer,6,6
Limenitis archippus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Viceroy,Summer,2019 Summer,5,5
Limenitis archippus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Viceroy,Summer,2019 Summer,1,1
Limenitis archippus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Viceroy,Summer,2020 Summer,4,4
