"","reps","median","low","up","prob"
"",52,-0.017,-0.044,0.01,0.891
"",52,-0.017,-0.044,0.01,0.891
"",52,-0.019,-0.047,0.008,0.918
"",52,-0.018,-0.044,0.009,0.907
"",52,-0.009,-0.036,0.017,0.762
"",52,-0.018,-0.046,0.008,0.902
"",52,-0.013,-0.04,0.016,0.81
"",52,-0.014,-0.036,0.008,0.9
"",52,-0.011,-0.035,0.013,0.819
"",52,-0.021,-0.049,0.006,0.934
"",52,-0.02,-0.047,0.007,0.925
"",52,-0.012,-0.039,0.015,0.813
"",52,-0.022,-0.048,0.006,0.946
"",52,-0.018,-0.045,0.01,0.9
"",52,-0.022,-0.049,0.005,0.946
"",52,-0.026,-0.053,0.001,0.971
"",52,-0.012,-0.038,0.015,0.808
"",52,-0.017,-0.045,0.01,0.897
"",52,-0.021,-0.048,0.005,0.937
"",52,-0.014,-0.039,0.011,0.857
"",52,-0.007,-0.031,0.018,0.719
"",52,-0.021,-0.048,0.005,0.942
"",52,-0.023,-0.049,0.004,0.955
"",52,-0.021,-0.048,0.006,0.935
"",52,-0.014,-0.041,0.014,0.836
"",52,-0.007,-0.028,0.017,0.719
"",52,-0.021,-0.048,0.007,0.928
"",52,-0.015,-0.044,0.012,0.859
"",52,-0.024,-0.051,0.004,0.954
"",52,-0.016,-0.044,0.011,0.886
"",52,-0.012,-0.038,0.013,0.834
"",52,-0.018,-0.045,0.008,0.91
"",52,-0.015,-0.039,0.008,0.9
"",52,-0.022,-0.048,0.004,0.953
"",52,-0.02,-0.048,0.008,0.925
"",52,-0.015,-0.043,0.012,0.865
"",52,-0.011,-0.035,0.014,0.814
"",52,-0.006,-0.029,0.017,0.688
"",52,-0.017,-0.045,0.01,0.886
"",52,-0.019,-0.043,0.005,0.937
"",52,-0.021,-0.048,0.005,0.943
"",52,-0.006,-0.03,0.019,0.679
"",52,-0.009,-0.033,0.016,0.763
"",52,-0.017,-0.045,0.011,0.882
"",52,-0.013,-0.038,0.014,0.845
"",52,-0.022,-0.05,0.006,0.94
"",52,-0.015,-0.04,0.012,0.872
"",52,-0.021,-0.048,0.007,0.935
"",52,-0.016,-0.043,0.011,0.885
"",52,-0.019,-0.046,0.008,0.918
"",52,-0.023,-0.051,0.004,0.951
"",52,-0.022,-0.049,0.006,0.942
"",52,-0.021,-0.048,0.005,0.94
"",52,-0.013,-0.038,0.012,0.85
"",52,-0.019,-0.046,0.008,0.918
"",52,-0.015,-0.042,0.012,0.864
"",52,-0.021,-0.045,0.002,0.963
"",52,-0.016,-0.042,0.01,0.889
"",52,-0.014,-0.039,0.01,0.88
"",52,-0.006,-0.03,0.019,0.685
"",52,-0.018,-0.046,0.01,0.9
"",52,-0.018,-0.044,0.009,0.912
"",52,-0.004,-0.03,0.023,0.622
"",52,-0.007,-0.031,0.016,0.726
"",52,-0.013,-0.038,0.011,0.865
"",62,-0.019,-0.042,0.005,0.94
"",62,-0.021,-0.044,0.001,0.965
"",62,-0.011,-0.032,0.009,0.852
"",62,-0.021,-0.044,0.003,0.959
"",62,-0.018,-0.042,0.006,0.938
"",62,-0.016,-0.04,0.007,0.917
"",62,-0.017,-0.04,0.006,0.926
"",62,-0.02,-0.043,0.003,0.953
"",62,-0.018,-0.04,0.005,0.94
"",62,-0.013,-0.034,0.008,0.891
"",62,-0.021,-0.044,0.002,0.958
"",62,-0.018,-0.042,0.005,0.938
"",62,-0.021,-0.044,0.002,0.966
"",62,-0.013,-0.037,0.01,0.858
"",62,-0.018,-0.041,0.006,0.937
"",62,-0.021,-0.045,0.002,0.962
"",62,-0.01,-0.031,0.011,0.834
"",62,-0.015,-0.036,0.005,0.929
"",62,-0.013,-0.033,0.007,0.898
"",62,-0.016,-0.039,0.007,0.917
"",62,-0.019,-0.041,0.005,0.944
"",62,-0.016,-0.039,0.007,0.916
"",62,-0.019,-0.043,0.004,0.945
"",62,-0.018,-0.041,0.007,0.928
"",62,-0.019,-0.042,0.005,0.942
"",62,-0.012,-0.033,0.01,0.868
"",62,-0.011,-0.034,0.011,0.84
"",62,-0.017,-0.039,0.006,0.928
"",62,-0.018,-0.041,0.006,0.933
"",62,-0.016,-0.039,0.007,0.911
"",62,-0.024,-0.047,-0.002,0.981
"",62,-0.019,-0.043,0.004,0.947
"",62,-0.021,-0.043,0.003,0.958
"",62,-0.016,-0.039,0.008,0.904
"",62,-0.016,-0.04,0.008,0.905
"",62,-0.012,-0.033,0.009,0.867
