species,median,up,low,probPos,probNeg
Polites sonora,0.001,-0.111,0.12,0.508,0.492
Polites themistocles,-0.001,-2.545,2.539,0.498,0.502
Polygonia faunus,-0.071,-2.536,2.615,0.424,0.576
Polygonia gracilis,-0.046,-0.14,0.046,0.156,0.844
Polygonia oreas,-0.025,-0.004,-0.048,0.014,0.986
Polygonia satyrus,-0.004,-0.067,0.06,0.446,0.554
Pontia beckerii,-0.003,-0.125,0.127,0.479,0.521
Pontia occidentalis,-0.051,-0.169,0.075,0.194,0.806
Pontia protodice,-0.012,-0.059,0.035,0.3,0.7
Pontia sisymbrii,-0.207,-0.098,-0.331,0,1
Pyrgus albescens,0.003,-0.212,0.21,0.514,0.486
Pyrgus communis,-0.004,-0.053,0.044,0.428,0.572
Pyrgus philetas,-0.009,-0.684,0.646,0.479,0.521
Pyrgus ruralis,0,-0.71,0.634,0.499,0.501
Pyrgus scriptura,-0.049,-2.444,2.391,0.445,0.555
Pyrrhopyge araxes,-0.022,-0.701,0.689,0.458,0.542
Satyrium acadica,0.053,0.102,0.007,0.988,0.012
Satyrium behrii,-0.012,-0.157,0.137,0.431,0.569
Satyrium californica,-0.066,-0.149,0.024,0.063,0.937
Satyrium fuliginosa,0.009,-0.692,0.727,0.519,0.481
Satyrium liparops,-0.122,-2.666,2.14,0.368,0.632
Satyrium saepium,-0.017,-0.119,0.089,0.359,0.641
Satyrium sylvinus,-0.099,-0.239,0.037,0.073,0.927
Satyrium tetra,-0.26,-1.088,0.621,0.22,0.78
Satyrium titus,-0.01,-0.716,0.683,0.478,0.522
Speyeria adiaste,-0.048,-0.022,-0.076,0,1
Speyeria aphrodite,-0.006,-0.301,0.3,0.478,0.522
Speyeria atlantis,0.006,-0.124,0.134,0.538,0.462
Speyeria callippe,-0.013,-0.07,0.044,0.318,0.682
Speyeria coronis,-0.012,-0.091,0.067,0.375,0.625
Speyeria cybele,-0.046,-0.33,0.237,0.339,0.661
Speyeria edwardsii,0.048,-0.657,0.745,0.595,0.405
Speyeria egleis,0.007,-0.387,0.392,0.52,0.48
Speyeria hydaspe,0.025,-0.102,0.144,0.664,0.336
Speyeria mormonia,-0.017,-0.298,0.264,0.437,0.563
Speyeria zerene,0.003,-0.131,0.136,0.521,0.479
Staphylus ceos,0.019,-0.181,0.229,0.59,0.41
Strymon melinus,-0.006,-0.041,0.029,0.359,0.641
Systasea pulverulenta,-0.164,-0.087,-0.246,0,1
Systasea zampa,-0.038,-0.442,0.352,0.395,0.605
Texola elada,0.086,-0.219,0.375,0.761,0.239
Thorybes drusius,0.062,-0.36,0.471,0.661,0.339
Thorybes mexicanus,-0.061,-0.337,0.218,0.291,0.709
Thorybes pylades,-0.011,-0.11,0.087,0.407,0.593
Thymelicus lineola,0.182,-2.261,2.476,0.68,0.32
Urbanus dorantes,-0.029,-0.753,0.663,0.443,0.557
Vanessa annabella,-0.083,-0.147,-0.022,0.006,0.994
Vanessa atalanta,0.006,-0.032,0.044,0.62,0.38
Vanessa cardui,-0.046,-0.087,-0.006,0.013,0.987
Vanessa virginiensis,-0.004,-0.058,0.049,0.44,0.56
Zestusa dorus,0.028,0.073,-0.015,0.899,0.101
