"lat","lon","elev"
34.046032,-118.210872,96
31.447117,-110.307227,1816
37.213428,-121.788263,181
34.271004,-118.332362,375
38.527469,-121.799247,18
37.354694,-122.188563,388
31.525828,-110.708375,1344
43.790863,-116.090958,2109
40.70103,-110.889498,3058
39.432115,-120.241231,1960
32.269281,-111.197176,926
40.74658,-111.845746,1405
37.899271,-122.603445,389
40.040853,-105.191175,1576
37.790891,-122.466035,62
38.260697,-121.438004,2
40.187841,-105.184831,1557
39.182541,-120.120001,1898
33.967947,-116.99913,820
32.760122,-116.996253,207
35.917833,-115.406818,1454
34.212021,-118.692596,501
37.33249,-107.904598,2182
38.061068,-122.814786,1
33.475357,-119.032286,0
36.485987,-121.202749,472
35.441025,-120.727097,508
34.052234,-118.243685,99
32.731888,-117.149512,78
33.652994,-115.826358,430
37.422182,-122.016783,-1
46.724226,-116.977565,811
37.757144,-119.802861,1903
46.901895,-121.432277,1213
38.539854,-121.620504,0
37.451425,-122.391888,166
36.31385,-121.573713,1503
37.898742,-121.874058,200
32.223755,-110.767547,837
40.981884,-124.058563,183
40.351917,-105.6157,2464
32.438843,-110.765805,2428
34.472102,-119.283942,270
34.561312,-119.960583,364
33.843618,-118.161441,20
48.926111,-113.902778,1366
31.737234,-110.884688,1418
33.294653,-116.440764,930
37.301225,-122.14233,573
31.797098,-110.774172,1498
37.976381,-119.277111,3070
34.066331,-118.168853,135
34.260558,-118.385359,315
37.874133,-122.23888,276
34.279626,-118.062901,1608
32.339574,-110.981765,768
34.237198,-118.540878,261
34.055557,-118.456108,100
32.332793,-106.588816,1730
34.198947,-118.117758,470
35.144381,-116.818649,809
44.325487,-124.104899,0
32.844555,-116.957047,115
37.346198,-122.241405,551
31.883252,-109.205541,1724
45.492309,-110.994941,2116
38.458839,-122.551415,738
31.382648,-110.363052,1680
33.59936,-111.81165,520
34.474776,-120.142248,0
40.568829,-105.025701,1493
34.09705,-118.717567,164
44.037161,-123.156084,129
35.193667,-106.400652,2578
36.9475,-113.789201,726
35.128813,-120.630981,15
37.437,-122.354,211
39.165339,-119.93356,1898
36.498277,-121.176505,458
34.182437,-118.097467,297
31.475414,-110.374489,1925
39.439619,-120.142453,1771
34.291484,-117.840418,958
37.61103,-118.735578,2064
38.113038,-119.046724,2115
37.59252,-118.850822,2338
37.514882,-121.831151,149
38.575118,-121.47268,12
33.89389,-118.334114,18
40.152236,-105.29861,1888
40.0713,-105.273155,1660
32.948916,-105.752995,2650
36.075169,-115.459541,1165
37.466335,-122.282792,217
34.176733,-118.473484,218
37.795933,-122.457633,33
37.769012,-122.471955,85
41.112418,-121.449358,1012
37.816223,-121.885816,286
34.145505,-118.051847,177
37.581283,-122.385916,113
37.870836,-122.308356,6
48.318512,-120.187395,1437
44.921918,-123.05225,106
40.786963,-124.094977,0
37.31204,-121.65746,814
33.786525,-118.295388,13
34.033131,-118.314413,51
38.74256,-121.147163,134
37.360634,-122.23164,332
32.64104,-105.690388,2137
39.68388,-120.674082,2028
37.47841,-122.296354,213
38.561506,-121.726921,15
35.320738,-111.709451,2790
35.567069,-121.105401,47
34.052932,-116.56612,793
37.284496,-122.063859,270
33.397759,-108.79839,2108
34.074906,-118.227015,138
32.254552,-111.197719,782
37.678205,-122.420318,324
31.399839,-111.089188,1204
37.257096,-122.395077,2
39.057375,-119.913948,2352
33.987293,-118.299881,46
40.116189,-105.29726,1900
