"","reps","median","low","up","prob"
"",42,-0.026,-0.057,0.005,0.952
"",42,-0.015,-0.049,0.022,0.799
"",42,0.001,-0.033,0.034,0.53
"",42,-0.001,-0.035,0.031,0.521
"",42,-0.033,-0.062,-0.004,0.986
"",42,-0.012,-0.049,0.026,0.741
"",42,-0.028,-0.064,0.006,0.947
"",42,-0.007,-0.043,0.031,0.648
"",42,-0.01,-0.044,0.022,0.729
"",42,-0.024,-0.056,0.008,0.93
"",42,-0.012,-0.047,0.025,0.742
"",42,-0.023,-0.059,0.011,0.909
"",42,-0.008,-0.044,0.029,0.66
"",42,-0.022,-0.06,0.015,0.882
"",42,-0.026,-0.057,0.004,0.954
"",42,-0.012,-0.048,0.026,0.736
"",42,-0.02,-0.047,0.007,0.926
"",42,-0.018,-0.054,0.019,0.838
"",42,-0.015,-0.049,0.018,0.822
"",42,0.002,-0.03,0.034,0.541
"",42,-0.023,-0.06,0.013,0.895
"",42,-0.012,-0.048,0.022,0.762
"",42,-0.025,-0.055,0.006,0.946
"",42,-0.026,-0.055,0.002,0.963
"",42,-0.009,-0.047,0.025,0.7
"",42,-0.021,-0.058,0.016,0.865
"",42,-0.014,-0.051,0.024,0.764
"",42,-0.015,-0.05,0.022,0.795
"",42,-0.008,-0.044,0.028,0.673
"",42,-0.013,-0.048,0.024,0.769
"",42,-0.001,-0.036,0.033,0.519
"",42,-0.009,-0.044,0.029,0.683
"",42,-0.003,-0.037,0.032,0.567
"",42,-0.019,-0.06,0.017,0.846
"",42,-0.029,-0.058,0.003,0.967
"",42,-0.016,-0.053,0.021,0.801
"",42,-0.004,-0.039,0.032,0.59
"",42,-0.014,-0.05,0.023,0.775
"",42,-0.024,-0.055,0.008,0.931
"",42,-0.01,-0.046,0.025,0.722
"",42,-0.017,-0.051,0.016,0.844
"",42,-0.023,-0.059,0.012,0.902
"",42,-0.01,-0.038,0.018,0.767
"",42,-0.019,-0.055,0.018,0.842
"",42,-0.033,-0.062,-0.004,0.987
"",42,-0.021,-0.056,0.016,0.876
"",42,-0.017,-0.051,0.02,0.832
"",42,-0.02,-0.056,0.015,0.871
"",42,-0.025,-0.062,0.011,0.914
"",42,-0.026,-0.055,0.005,0.954
"",42,-0.016,-0.05,0.018,0.82
"",42,-0.019,-0.055,0.018,0.843
"",42,-0.017,-0.046,0.014,0.866
"",42,-0.007,-0.042,0.027,0.656
"",42,-0.024,-0.059,0.01,0.91
"",42,-0.027,-0.059,0.005,0.952
"",42,-0.018,-0.046,0.01,0.894
"",42,-0.005,-0.042,0.032,0.596
"",42,-0.029,-0.058,0,0.972
"",42,-0.021,-0.058,0.015,0.871
"",42,-0.001,-0.033,0.032,0.528
"",42,-0.019,-0.054,0.016,0.861
"",42,-0.018,-0.045,0.009,0.903
"",42,-0.011,-0.043,0.024,0.738
"",42,-0.024,-0.054,0.005,0.947
"",42,-0.03,-0.06,0.003,0.967
"",42,-0.016,-0.042,0.012,0.877
"",52,-0.024,-0.054,0.006,0.945
"",52,-0.017,-0.047,0.011,0.887
"",52,-0.019,-0.045,0.006,0.929
"",52,-0.025,-0.056,0.005,0.948
"",52,-0.026,-0.051,0,0.975
"",52,-0.013,-0.044,0.017,0.801
"",52,-0.017,-0.049,0.013,0.863
"",52,-0.009,-0.038,0.018,0.746
"",52,-0.016,-0.046,0.013,0.868
"",52,-0.027,-0.053,0,0.978
"",52,-0.013,-0.042,0.016,0.813
"",52,-0.015,-0.045,0.015,0.844
"",52,-0.016,-0.046,0.013,0.855
"",52,-0.021,-0.051,0.009,0.92
"",52,-0.024,-0.051,0.004,0.957
"",52,-0.025,-0.051,0.003,0.964
"",52,-0.015,-0.044,0.015,0.843
"",52,-0.016,-0.046,0.014,0.849
"",52,-0.022,-0.051,0.006,0.936
"",52,-0.03,-0.058,-0.004,0.985
"",52,-0.011,-0.04,0.019,0.771
"",52,-0.014,-0.044,0.016,0.828
"",52,-0.008,-0.036,0.02,0.707
"",52,-0.025,-0.052,0.002,0.965
"",52,-0.025,-0.051,0.001,0.97
"",52,-0.008,-0.038,0.021,0.706
"",52,-0.032,-0.061,-0.002,0.983
"",52,-0.023,-0.048,0.003,0.961
"",52,-0.018,-0.05,0.013,0.875
"",52,-0.023,-0.051,0.003,0.957
"",52,-0.019,-0.047,0.011,0.895
"",52,-0.009,-0.036,0.017,0.755
"",52,-0.017,-0.043,0.007,0.909
"",52,-0.009,-0.038,0.019,0.748
"",52,-0.016,-0.046,0.014,0.854
"",52,-0.012,-0.042,0.018,0.796
"",52,-0.011,-0.039,0.017,0.78
"",52,-0.021,-0.052,0.009,0.919
"",52,-0.013,-0.042,0.017,0.802
"",52,-0.02,-0.051,0.01,0.904
"",52,-0.023,-0.051,0.004,0.95
"",52,-0.016,-0.048,0.014,0.851
"",52,-0.021,-0.052,0.009,0.919
"",52,-0.008,-0.039,0.022,0.696
"",52,-0.021,-0.051,0.008,0.919
"",52,-0.012,-0.041,0.018,0.791
"",52,-0.02,-0.044,0.003,0.955
"",52,-0.009,-0.038,0.02,0.74
"",52,-0.02,-0.049,0.01,0.906
"",52,-0.012,-0.04,0.016,0.808
"",52,-0.011,-0.042,0.019,0.768
"",52,-0.013,-0.042,0.016,0.821
"",52,-0.021,-0.048,0.006,0.94
"",52,-0.023,-0.049,0.002,0.96
"",52,-0.019,-0.049,0.01,0.896
"",52,-0.013,-0.044,0.017,0.802
"",52,-0.02,-0.047,0.006,0.932
"",52,-0.016,-0.046,0.015,0.849
"",52,-0.017,-0.044,0.011,0.895
"",52,-0.017,-0.045,0.014,0.873
"",52,-0.028,-0.057,0.003,0.967
"",52,-0.024,-0.049,0.001,0.972
"",52,-0.012,-0.042,0.017,0.796
"",52,-0.015,-0.043,0.013,0.856
"",52,-0.015,-0.045,0.013,0.854
"",52,-0.02,-0.05,0.01,0.912
"",52,-0.011,-0.041,0.018,0.782
"",52,-0.013,-0.042,0.018,0.799
"",52,-0.019,-0.05,0.012,0.895
"",52,-0.03,-0.059,0,0.977
"",52,-0.015,-0.046,0.015,0.831
"",52,-0.024,-0.05,0.002,0.965
"",52,-0.016,-0.047,0.015,0.846
"",52,-0.022,-0.049,0.004,0.95
"",52,-0.007,-0.035,0.02,0.71
"",52,-0.021,-0.048,0.006,0.935
"",52,-0.03,-0.056,-0.005,0.99
"",52,-0.013,-0.044,0.018,0.794
"",52,-0.015,-0.045,0.015,0.837
"",52,-0.018,-0.041,0.004,0.946
"",52,-0.015,-0.042,0.014,0.851
"",52,-0.017,-0.043,0.009,0.902
"",52,-0.022,-0.052,0.008,0.927
"",52,-0.018,-0.045,0.01,0.898
"",52,-0.015,-0.045,0.014,0.847
"",52,-0.019,-0.047,0.011,0.894
"",52,-0.013,-0.043,0.018,0.799
"",52,-0.024,-0.05,0.003,0.958
"",52,-0.012,-0.041,0.019,0.784
