"","reps","median","low","up","prob"
"",32,-0.024,-0.059,0.013,0.901
"",32,-0.013,-0.046,0.022,0.781
"",32,0.003,-0.03,0.033,0.584
"",32,-0.02,-0.057,0.014,0.868
"",32,-0.033,-0.074,0.004,0.956
"",32,-0.01,-0.041,0.023,0.732
"",32,-0.023,-0.059,0.015,0.894
"",32,-0.008,-0.044,0.026,0.679
"",32,-0.006,-0.04,0.031,0.632
"",32,-0.01,-0.046,0.022,0.73
"",32,-0.012,-0.045,0.019,0.781
"",32,-0.001,-0.034,0.029,0.537
"",32,-0.018,-0.051,0.015,0.845
"",32,-0.02,-0.053,0.017,0.863
"",32,-0.025,-0.065,0.012,0.905
"",32,-0.022,-0.057,0.011,0.899
"",32,-0.02,-0.055,0.024,0.852
"",32,-0.022,-0.056,0.008,0.918
"",32,-0.01,-0.047,0.027,0.71
"",32,-0.023,-0.06,0.009,0.917
"",32,-0.017,-0.056,0.021,0.813
"",32,-0.028,-0.062,0.011,0.922
"",32,-0.029,-0.068,0.011,0.92
"",32,-0.036,-0.07,0.001,0.976
"",32,-0.027,-0.063,0.013,0.911
"",32,-0.015,-0.053,0.021,0.801
"",32,-0.016,-0.049,0.018,0.83
"",32,-0.02,-0.055,0.014,0.861
"",32,-0.012,-0.045,0.023,0.765
"",32,-0.02,-0.054,0.016,0.863
"",32,-0.022,-0.06,0.013,0.889
"",32,-0.02,-0.053,0.021,0.856
"",42,-0.029,-0.058,0,0.975
"",42,-0.018,-0.045,0.01,0.903
"",42,-0.011,-0.041,0.018,0.775
"",42,-0.016,-0.044,0.01,0.87
"",42,-0.021,-0.05,0.006,0.931
"",42,-0.024,-0.057,0.005,0.932
"",42,-0.012,-0.039,0.019,0.778
"",42,-0.014,-0.04,0.015,0.854
"",42,-0.025,-0.054,0.006,0.941
"",42,-0.02,-0.05,0.007,0.91
"",42,-0.025,-0.054,0.003,0.96
"",42,-0.02,-0.048,0.006,0.924
"",42,-0.022,-0.053,0.007,0.925
"",42,-0.019,-0.049,0.011,0.893
"",42,-0.022,-0.055,0.007,0.926
"",42,-0.016,-0.044,0.013,0.873
"",42,-0.018,-0.047,0.013,0.888
"",42,-0.011,-0.038,0.021,0.778
"",42,-0.019,-0.047,0.008,0.921
"",42,-0.011,-0.038,0.018,0.778
"",42,-0.017,-0.042,0.008,0.913
